GEO,EUState,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AT,Austria,31710,31990,32360,32520,33200,33710,34700,35870,36280,34830,35390,36300,36390,36180,36130,36140,36390,37030,37800,38170
BE,Belgium,29890,30120,30490,30680,31640,32200,32800,33760,33640,32700,33330,33460,33490,33490,33870,34360,34620,35040,35510,35950
BG,Bulgaria,3010,3230,3440,3640,3890,4190,4500,4820,5140,4990,5050,5300,5350,5400,5530,5790,6050,6310,6550,6840
CH,Switzerland,52080,52640,52260,51860,52970,54180,56000,57720,58620,56750,58170,58730,58820,59200,59920,60220,60780,61170,62550,62780
CY,Cyprus,20130,20700,21230,21520,22300,23050,23740,24420,24680,23550,23400,22900,21780,20400,20250,21020,22270,23200,24120,24570
CZ,Czechia,11230,11620,11830,12260,12840,13650,14530,15250,15500,14690,15020,15310,15170,15160,15480,16290,16670,17490,17980,18330
DE,Germany (until 1990 former territory of the FRG),28910,29370,29290,29100,29470,29730,30930,31920,32320,30580,31940,33200,33280,33330,33920,34130,34610,35380,35720,35840
DK,Denmark,42190,42390,42430,42490,43520,44400,45990,46210,45700,43220,43840,44240,44170,44410,44890,45630,46720,47740,48530,49720
EE,Estonia,7570,8070,8680,9390,10090,11110,12260,13270,12640,10830,11150,12010,12430,12640,13060,13330,13730,14480,15070,15760
EL,Greece,17430,18050,18690,19730,20670,20740,21840,22500,22370,21350,20150,18130,16940,16600,16820,16870,16850,17100,17400,17740
ES,Spain,21460,22190,22430,22680,23020,23420,24000,24380,24200,23100,23040,22770,22080,21840,22210,23080,23760,24430,24910,25200
FI,Finland,30510,31230,31690,32250,33440,34250,35490,37210,37330,34150,35080,35810,35140,34660,34390,34460,35330,36400,36900,37290
FR,France,28930,29290,29410,29440,30050,30320,30850,31400,31310,30250,30690,31210,31160,31170,31320,31540,31770,32380,32860,33270
HR,Croatia,8190,8420,8900,9400,9780,10200,10700,11250,11460,10640,10520,10530,10310,10300,10310,10630,11100,11600,12040,12450
HU,Hungary,7910,8250,8670,9050,9510,9930,10340,10390,10510,9820,9960,10180,10090,10310,10770,11210,11480,12010,12680,13260
IE,Ireland,33290,34520,35920,36400,38190,39480,40390,41280,38600,36300,36770,36840,36740,37010,39920,49510,49930,53890,57780,60170
IS,Iceland,28290,28990,28940,29420,31420,33040,33820,36140,35940,33520,32490,33000,33250,34290,34620,35890,37750,38530,38970,38850
IT,Italy,27430,27950,27960,27850,28030,28090,28480,28730,28230,26590,26930,27020,26090,25480,25420,25640,26020,26490,26780,26920
LT,Lithuania,5230,5620,6050,6740,7270,7960,8690,9770,10130,8720,9050,9820,10330,10810,11290,11620,12070,12760,13390,14010
LU,Luxembourg,70460,71440,73380,73650,75270,76460,79190,84420,81880,76900,79160,79310,77240,78030,79490,81300,82880,82550,83470,83640
LV,Latvia,5210,5610,6080,6660,7310,8180,9240,10250,10010,8730,8520,9240,9750,10080,10290,10790,11150,11620,12180,12510
ME,Montenegro,,,,,,,,4890,5230,4920,5050,5200,5060,5230,5320,5500,5660,5920,6230,
MK,North Macedonia,2620,2530,2580,2630,2750,2870,3010,3200,3370,3350,3460,3530,3510,3610,3740,3870,3980,4020,,
MT,Malta,13750,13480,13730,14200,14120,14510,14820,15470,15960,15660,16440,16450,16970,17650,18610,19920,20230,21250,21580,21770
NL,Netherlands,35060,35610,35460,35350,35920,36570,37780,39120,39810,38160,38470,38880,38340,38180,38580,39170,39810,40730,41450,41870
NO,Norway,61660,62620,63190,63380,65510,66780,67830,69140,68610,66580,66220,66010,66900,66780,67340,67960,68090,69130,69560,69890
PL,Poland,6450,6530,6670,6910,7260,7510,7980,8550,8910,9070,9400,9850,9980,10100,10440,10890,11240,11790,12420,13000
PT,Portugal,16230,16430,16470,16250,16500,16600,16840,17230,17260,16710,16990,16720,16110,16050,16260,16620,17010,17650,18190,18590
RO,Romania,,,4260,4380,4860,5120,5560,6050,6730,6410,6200,6350,6500,6770,7040,7290,7670,8280,8700,9120
RS,Serbia,2650,2840,3020,3160,3460,3660,3860,4130,4380,4280,4330,4450,4440,4590,4540,4640,4820,4950,5200,5450
SE,Sweden,33960,34360,35000,35680,37080,37990,39540,40590,40100,38030,39950,40920,40380,40510,41180,42580,42920,43430,43760,43870
SI,Slovenia,13980,14410,14900,15330,15990,16570,17460,18570,19190,17570,17750,17870,17360,17160,17620,17990,18550,19430,20220,20700
SK,Slovakia,7780,8060,8420,8890,9350,9960,10800,11960,12600,11890,12560,12990,13220,13290,13630,14270,14550,14980,15520,15860
TR,Turkey,6130,5700,5990,6260,6790,7310,7720,8010,7980,7490,8000,8760,9070,9710,10050,10520,10730,11380,11560,11500
UK,United Kingdom,27130,27770,28250,29060,29560,30210,30810,31280,30940,29460,29830,29960,30190,30660,31290,31780,32060,32430,32640,32850
